user_id,item_id
11279964,168681351
138961180,98603220
56993964,305742819
103823974,37910916
17219776,128702084
42096946,35946273
62879735,384038335
42096946,120214329
138780010,401070714
135809553,188340393
50114359,283687321
12952941,316324532
42096946,23893034
120306985,75693482
138961180,243088323
28883723,260226898
115761083,64989800
56818905,192196843
47688515,173265632
50114359,229347739
29225615,121114529
42096946,395074329
134979525,338630082
18249259,80411699
12952941,401863214
42793246,125634399
109092473,100284729
121299887,336162847
44182382,291503193
54041681,303623649
112658053,137407767
58517586,314069950
46839347,80727711
132424760,69977335
113512469,61064707
113512469,150429306
47688515,183873984
121658987,240657308
132626507,286175221
134764464,320115575
122630648,334485827
137507730,329887367
116922407,1805007
111382789,261554871
113210000,126219377
112619968,95867699
42096946,306706132
112658053,239896170
104550352,360143307
29499215,391850817
61750058,67897568
13492065,280674759
56011760,98656648
17562880,213582398
5369231,394658338
131771456,403813216
42096946,129509881
105805055,216704309
137640381,205571401
26037919,70506159
128338662,311499944
58399743,217054155
117340109,14282215
12257382,185913169
18959614,108852248
115761083,269477241
112658053,307542920
112658053,1061648
12506484,287388185
26037919,83998781
117707223,263586939
41686678,385753960
135378246,154200932
61432703,337098384
42096946,400072608
136286592,190177818
121986074,215620055
33635794,68289678
132236660,381125638
25286173,278155255
135378246,180200233
42096946,257632907
58632405,164839096
42096946,196516706
50260039,251443481
54384458,116244095
56818905,382993678
132626507,57047804
4915814,186653415
14602569,153074730
36090836,189286725
19052485,343299064
110946571,147950706
10876284,368359382
126111855,95219572
109016093,398105124
107214401,329979495
135567210,28644360
110948224,202804844
42096946,347300442
3285586,123026700
27496280,86610821
4915814,343575787
13709817,299941043
12952941,12307439
42096946,70772681
18594472,361190274
58517586,231003176
42096946,249690939
17562880,66593498
135378246,21875449
50146084,242709260
112658053,220520698
128008896,137318721
59472933,115152156
11026029,88964509
12952941,96768188
135792408,290999637
135567210,147681344
100226515,250781249
135567210,312567052
63623282,244553557
32384032,319984203
132626507,59582657
53187338,94223723
12952941,139232361
25068286,294122948
